"","pathway","pval","padj","log2err","ES","NES"
"22","CTIP_DN.V1_DN",0.885311871227364,1,0.0169176756264572,-0.306403605392191,-0.812738748198811
"23","CTIP_DN.V1_UP",0.996981891348089,1,0.00458288223817775,-0.209553297347429,-0.555703787163078
"24","CYCLIN_D1_KE_.V1_DN",0.984,1,0.00599657425469861,-0.262962949849053,-0.709176624608542
"25","DCA_UP.V1_UP",0.997997997997998,1,0.00288973010331959,-0.22494155093661,-0.606195704100146
"26","EIF4E_DN",0.939148780543121,1,NA,0.151266415238446,0.641485236259473
"27","ESC_V6.5_UP_EARLY.V1_UP",0.997997997997998,1,0.00288973010331959,-0.207473887817756,-0.55713522619631
"28","GCNP_SHH_UP_EARLY.V1_DN",1,1,0.0014426950408889,-0.154589827130166,-0.415369518070724
"29","GLI1_UP.V1_DN",0.521739130434783,1,0.16440575583821,0.319985482700218,0.939571726211928
"30","GLI1_UP.V1_UP",0.596153846153846,1,0.178219874951973,0.280305239800308,0.915079693890768
"31","IL21_UP.V1_DN",0.991991991991992,1,0.00458288223817775,-0.246077537597811,-0.661801606815317
"32","IL2_UP.V1_DN",0.975024975024975,1,0.00730167173587984,-0.271536614206819,-0.73394076031047
"33","JAK2_DN.V1_DN",0.718436873747495,1,0.0287155399266326,-0.345101821738059,-0.91979182743332
"34","JAK2_DN.V1_UP",0.996996996996997,1,0.00323243877654383,-0.234383628793583,-0.630783714042255
"35","JNK_DN.V1_DN",1,1,0.0014426950408889,-0.191446650247626,-0.516369974531728
"36","KRAS.50_UP.V1_DN",0.3154347815441,1,0.203508959461977,0.281765029062229,1.10021211871375
"37","KRAS.600.LUNG.BREAST_UP.V1_DN",0.738261738261738,1,0.0271669768425399,-0.340463578532219,-0.925476117528055
"38","KRAS.600_UP.V1_DN",0.909090909090909,1,0.0144273071264209,-0.312899213588924,-0.849897556058082
"39","KRAS.AMP.LUNG_UP.V1_DN",0.949799196787149,1,0.0110006035430037,-0.277556704096033,-0.737884181259068
"40","KRAS.AMP.LUNG_UP.V1_UP",0.385929648241206,1,0.0578529757032509,-0.391491004785135,-1.0401930374657
"41","KRAS.BREAST_UP.V1_DN",0.993975903614458,1,0.00480899561354898,-0.225769801248343,-0.600208759106449
"42","KRAS.KIDNEY_UP.V1_UP",0.825476429287864,1,0.0212181723861707,-0.325161338535377,-0.865056113352812
"43","KRAS.LUNG.BREAST_UP.V1_DN",0.665330661322645,1,0.0325057651164641,-0.353251963197735,-0.940590334678186
