"","pathway","pval","padj","log2err","ES","NES"
"130","MTOR_UP.N4.V1_UP",NA,NA,NA,0.299724864227248,NA
"131","MTOR_UP.V1_UP",NA,NA,NA,0.345907621364085,NA
"132","MYC_UP.V1_DN",NA,NA,NA,0.315687350343907,NA
"133","MYC_UP.V1_UP",NA,NA,NA,0.17610924683443,NA
"134","NFE2L2.V2",NA,NA,NA,0.228463159034108,NA
"135","NRL_DN.V1_DN",NA,NA,NA,0.247147080818968,NA
"136","NRL_DN.V1_UP",NA,NA,NA,0.242184695635767,NA
"137","P53_DN.V1_DN",NA,NA,NA,0.274431149657665,NA
"138","P53_DN.V1_UP",NA,NA,NA,0.442745246177574,NA
"139","P53_DN.V2_DN",NA,NA,NA,0.174603347425041,NA
"140","P53_DN.V2_UP",NA,NA,NA,0.337016449800259,NA
"141","PDGF_ERK_DN.V1_DN",NA,NA,NA,0.224619207821538,NA
"142","PDGF_ERK_DN.V1_UP",NA,NA,NA,0.310468689998412,NA
"143","PDGF_UP.V1_DN",NA,NA,NA,0.203480369462736,NA
"144","PDGF_UP.V1_UP",NA,NA,NA,0.285757524518126,NA
"145","PGF_UP.V1_UP",NA,NA,NA,0.170962683257404,NA
"146","PKCA_DN.V1_DN",NA,NA,NA,0.334748130769383,NA
"147","PKCA_DN.V1_UP",NA,NA,NA,0.195605937277484,NA
"148","PRC1_BMI_UP.V1_UP",NA,NA,NA,0.20839190229866,NA
"149","PRC2_EED_DN.V1_DN",NA,NA,NA,0.418230060319254,NA
"150","PRC2_EED_DN.V1_UP",NA,NA,NA,0.204364002093957,NA
"151","PRC2_EZH2_UP.V1_DN",NA,NA,NA,0.326649326847477,NA
"152","PRC2_EZH2_UP.V1_UP",NA,NA,NA,0.455883555367635,NA
"153","PRC2_SUZ12_UP.V1_DN",NA,NA,NA,0.208656454951287,NA
"154","PRC2_SUZ12_UP.V1_UP",NA,NA,NA,0.253688677515575,NA
"155","PTEN_DN.V1_UP",NA,NA,NA,0.242510275946723,NA
"156","PTEN_DN.V2_DN",NA,NA,NA,0.235222351678394,NA
"157","PTEN_DN.V2_UP",NA,NA,NA,0.347152299827525,NA
"158","RAF_UP.V1_DN",NA,NA,NA,0.236391357118367,NA
"159","RAF_UP.V1_UP",NA,NA,NA,0.475003235060284,NA
"160","RAPA_EARLY_UP.V1_DN",NA,NA,NA,0.214668748768013,NA
"161","RAPA_EARLY_UP.V1_UP",NA,NA,NA,0.208090423816185,NA
"162","RB_DN.V1_DN",NA,NA,NA,0.465606969285577,NA
"163","RB_DN.V1_UP",NA,NA,NA,0.376880404910407,NA
"164","RB_P107_DN.V1_DN",NA,NA,NA,0.444471253008206,NA
"165","RB_P107_DN.V1_UP",NA,NA,NA,0.509309369079101,NA
"166","RB_P130_DN.V1_DN",NA,NA,NA,0.417238282641824,NA
"167","RB_P130_DN.V1_UP",NA,NA,NA,0.239701852488838,NA
"168","RELA_DN.V1_DN",NA,NA,NA,0.260922608777418,NA
"169","RPS14_DN.V1_DN",NA,NA,NA,0.381615467607916,NA
"170","RPS14_DN.V1_UP",NA,NA,NA,0.201577099056857,NA
"171","SIRNA_EIF4GI_DN",NA,NA,NA,0.281607829701879,NA
"172","SNF5_DN.V1_DN",NA,NA,NA,0.22764738667445,NA
"173","SNF5_DN.V1_UP",NA,NA,NA,0.328267129030949,NA
"174","SRC_UP.V1_DN",NA,NA,NA,0.267034991473546,NA
"175","STK33_DN",NA,NA,NA,0.257069923711189,NA
"176","STK33_NOMO_DN",NA,NA,NA,0.265308759114799,NA
"177","STK33_NOMO_UP",NA,NA,NA,0.264388309229337,NA
"178","STK33_SKM_DN",NA,NA,NA,0.242569203154131,NA
"179","STK33_SKM_UP",NA,NA,NA,0.191956722638641,NA
"180","STK33_UP",NA,NA,NA,0.207197233042922,NA
"181","TBK1.DF_DN",NA,NA,NA,0.272779996340618,NA
"182","TBK1.DF_UP",NA,NA,NA,0.34312768584254,NA
"183","TGFB_UP.V1_DN",NA,NA,NA,0.233838332995958,NA
"184","TGFB_UP.V1_UP",NA,NA,NA,0.286510501602368,NA
"185","VEGF_A_UP.V1_DN",NA,NA,NA,0.418399155029867,NA
"186","VEGF_A_UP.V1_UP",NA,NA,NA,0.291074240743393,NA
"187","WNT_UP.V1_DN",NA,NA,NA,0.260043397447067,NA
"188","WNT_UP.V1_UP",NA,NA,NA,0.251873146929644,NA
