id	filename	md5	size	state
4297f902-2495-48fb-af36-31e61f727215	4297f902-2495-48fb-af36-31e61f727215/d2bf5f92-08f4-492e-96c2-399262f96828.rna_seq.augmented_star_gene_counts.tsv	1cfbf6dd348981359811261b7ccf3ee0	4231510	validated
443ccb95-79d0-47ea-9915-18d5bc10eac4	443ccb95-79d0-47ea-9915-18d5bc10eac4/ec3a68ca-1006-4f2f-95b5-74d506ceda86.rna_seq.augmented_star_gene_counts.tsv	ecb819733c70c92f3d0f2fded167360c	4231505	validated
45d4b468-9089-46fd-8b5e-ad80a5148abd	45d4b468-9089-46fd-8b5e-ad80a5148abd/6e2e3178-73ad-4590-a56b-bb7fd9984acd.rna_seq.augmented_star_gene_counts.tsv	793334bac3ad933f56e75de2b5cccf81	4251058	validated
45fe5e83-1e4a-4e0a-ac03-62ef32a90e77	45fe5e83-1e4a-4e0a-ac03-62ef32a90e77/6b51d2ce-51ed-4b34-890d-9f83d363118c.rna_seq.augmented_star_gene_counts.tsv	31eeb6845913da77fef24ca097fc7eee	4246904	validated
466db517-921b-47e8-b249-b4c9bd714bfd	466db517-921b-47e8-b249-b4c9bd714bfd/28e5e6cc-60b0-4324-b05e-d05af474da90.rna_seq.augmented_star_gene_counts.tsv	d3b9fd17453841cff2554e66dc1a6776	4250649	validated
49453e81-56b8-43b7-b56f-6195038a1142	49453e81-56b8-43b7-b56f-6195038a1142/ed30ab10-5d65-4aeb-ba72-ec3e9b768cd3.rna_seq.augmented_star_gene_counts.tsv	48a773f9dc82c8e4558bd66038da6bea	4212895	validated
4981d1f3-2824-4cd0-81b8-e12a9727a248	4981d1f3-2824-4cd0-81b8-e12a9727a248/1f7938f1-e04e-4ed0-8189-3d701c6fef72.rna_seq.augmented_star_gene_counts.tsv	bb9e2d908f47845c0c574bc498442c33	4250196	validated
4b98f37e-33fc-4bf0-b6cd-4c900bcc9d2a	4b98f37e-33fc-4bf0-b6cd-4c900bcc9d2a/925a2268-1a0a-402b-8bb1-e6fa32521afe.rna_seq.augmented_star_gene_counts.tsv	d0cb9fbf2c1f7bcd989ff9d52c6fecd6	4261607	validated
4c37a5fe-812f-42ac-aa56-259b31df6894	4c37a5fe-812f-42ac-aa56-259b31df6894/482e60ad-222e-4ead-8a3c-a3b44e54aa5e.rna_seq.augmented_star_gene_counts.tsv	3cd3cfb8e558b5e2603b79c6f2b79bd1	4242709	validated
4e27513c-172b-4d19-a397-ade6df353e6c	4e27513c-172b-4d19-a397-ade6df353e6c/20ecdb2d-16ad-437b-ac0e-b84339c769a6.rna_seq.augmented_star_gene_counts.tsv	5db0662ae2c4c127c8f9d98337541c17	4242933	validated
