"","pathway","pval","padj","log2err","ES","NES"
"80","CYCLIN_D1_UP.V1_DN",NA,NA,NA,0.183217615693404,NA
"81","CYCLIN_D1_UP.V1_UP",NA,NA,NA,0.293139241139109,NA
"82","DCA_UP.V1_DN",NA,NA,NA,0.139625615917285,NA
"83","E2F1_UP.V1_DN",NA,NA,NA,0.235345233779689,NA
"84","E2F1_UP.V1_UP",NA,NA,NA,0.37124354323534,NA
"85","E2F3_UP.V1_DN",NA,NA,NA,0.33016512065573,NA
"86","E2F3_UP.V1_UP",NA,NA,NA,0.221771888940308,NA
"87","EGFR_UP.V1_DN",NA,NA,NA,0.14600469184091,NA
"88","EGFR_UP.V1_UP",NA,NA,NA,0.416723412869348,NA
"89","EIF4E_DN",NA,NA,NA,0.151266415238112,NA
"90","EIF4E_UP",NA,NA,NA,0.353549785042346,NA
"91","ERBB2_UP.V1_DN",NA,NA,NA,0.220491699414278,NA
"92","ERBB2_UP.V1_UP",NA,NA,NA,0.420296122771116,NA
"93","ESC_J1_UP_EARLY.V1_DN",NA,NA,NA,0.344077494277958,NA
"94","ESC_J1_UP_EARLY.V1_UP",NA,NA,NA,0.17893631946597,NA
"95","ESC_J1_UP_LATE.V1_DN",NA,NA,NA,0.168773537989335,NA
"96","ESC_J1_UP_LATE.V1_UP",NA,NA,NA,0.301970966435684,NA
"97","ESC_V6.5_UP_EARLY.V1_DN",NA,NA,NA,0.378860238625986,NA
"98","ESC_V6.5_UP_LATE.V1_DN",NA,NA,NA,0.336942286015847,NA
"99","ESC_V6.5_UP_LATE.V1_UP",NA,NA,NA,0.342037692328988,NA
"100","GCNP_SHH_UP_EARLY.V1_UP",NA,NA,NA,0.263234044155732,NA
"101","GCNP_SHH_UP_LATE.V1_DN",NA,NA,NA,0.406033805474353,NA
"102","GCNP_SHH_UP_LATE.V1_UP",NA,NA,NA,0.249219489567818,NA
"103","HOXA9_DN.V1_DN",NA,NA,NA,0.38550120220058,NA
"104","HOXA9_DN.V1_UP",NA,NA,NA,0.21071855593057,NA
"105","IL15_UP.V1_DN",NA,NA,NA,0.191801015459981,NA
"106","IL15_UP.V1_UP",NA,NA,NA,0.259683074618015,NA
"107","IL21_UP.V1_UP",NA,NA,NA,0.237288466776562,NA
"108","IL2_UP.V1_UP",NA,NA,NA,0.313970530972447,NA
"109","JNK_DN.V1_UP",NA,NA,NA,0.345916916723558,NA
"110","KRAS.300_UP.V1_DN",NA,NA,NA,0.207101953741661,NA
"111","KRAS.300_UP.V1_UP",NA,NA,NA,0.361932749648792,NA
"112","KRAS.600.LUNG.BREAST_UP.V1_UP",NA,NA,NA,0.309638453670764,NA
"113","KRAS.600_UP.V1_UP",NA,NA,NA,0.244253738387453,NA
"114","KRAS.BREAST_UP.V1_UP",NA,NA,NA,0.251621302318992,NA
"115","KRAS.DF.V1_DN",NA,NA,NA,0.198372197310804,NA
